feature,shap_importance
Methyl thiolacetate,0.5408962259168979
2-Hexanone,0.5160151318722246
"1,4-Butanediol",0.5101517224579386
Butyrolactone ,0.4894761379065721
"1-Butanol, 3-methyl-, acetate",0.4811979321444971
Acetoin,0.4552188292472756
2-Heptanone,0.43288911110579054
Acetic acid,0.36868968283845416
 Ethyl Acetate,0.3418189733361925
"2-Pentanol, 2-methyl-",0.33322933023252005
"Propanoic acid, 2-methyl-",0.3308584595024495
Propanoic acid,0.330488817613161
" 3-Buten-1-ol, 3-methyl-",0.2969238708758018
"1-Pentanol, 2-methyl-",0.29631398151152266
"1-Propanol, 2-methyl-",0.28433940674791647
"Butanoic acid, 3-methyl-",0.26782813284525664
Ethanol,0.2663745468938622
1-Butanol,0.2640606085740268
Pyrrole,0.26140633049781437
Methyl isovalerate,0.253511842853455
"2-Heptanone, 4,6-dimethyl-",0.24552399669258743
 2-Pentadecanone,0.23617927905263708
Amylene hydrate,0.22145309874899655
Decane,0.21968465428806683
2-Pentanone,0.21800716336370335
Methyl Isobutyl Ketone,0.21423455267693242
Isobutyl acetate,0.21343658103501786
1-Octanol,0.20724396053661256
2-Dodecanone,0.20603684572388276
"1-Heptanol, 2,4-dimethyl-,",0.2010656257221197
Ethyl isocyanide,0.18607017256705838
"Butanoic acid, 2-methyl-, ethyl ester",0.18602421301741426
"1H-Pyrrole, 2-methyl-",0.1853444625787937
2-Pentanol,0.1827904058934149
Phenylethyl Alcohol,0.17989609228016584
n-Tridecan-1-ol,0.1764639057095041
2-Tridecanol,0.1673642422262937
1-Decanol,0.16561263336197202
Methyl tetradecanoate,0.16285664427284038
"2-Heptanol, 4-methyl-",0.15823430033021516
2-Nonanone ,0.15487631864162013
Indole,0.14567238984848596
1-Propanol,0.14091718444302004
2-Tridecanone,0.13611973551638457
1-Dodecanol,0.12943255103122778
"1-Butanol, 3-methyl-",0.12174524873027559
"Thiocyanic acid, methyl ester",0.10208729388444227
"Acetic acid, decyl ester",0.09520656008024628
"Butanoic acid, 2-methyl-, methyl ester",0.08921839660072327
n-Pentadecanol,0.08883015940314863
Hexadecanal,0.07977533222531441
Dodecane,0.06841881834986319
" Dodecanoic acid, ethyl ester",0.06274124360805361
"Acetophenone, 2'-amino-",0.0599702420130689
2-Nonanol,0.05982702521581862
2-Undecanone,0.059347289937240255
2-Undecanol,0.053444808409284825
 1-Hexadecanol,0.04836332319095658
1 - Undecene,0.04693428963999258
" Decanoic acid, ethyl ester",0.046453816000746176
 S-Methyl 3-methylbutanethioate,0.043165360514917886
"Tetradecanoic acid, ethyl ester",0.041961926275103215
"Benzoic acid, methyl ester",0.0406219240095365
"Propanoic acid, ethyl ester",0.03964151417049422
Tetradecanal,0.03474137044579292
1-Tetradecanol,0.027754048031126712
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.023556527737549085
