,Species,Strain,Samples 
3,SA,SA_A,SA.A_TSB_A
4,SA,SA_A,SA.A_TSB_B
5,SA,SA_A,SA.A_TSB_C
6,SA,SA_A,SA.A_TSB_D
7,SA,SA_A,SA.A_TSB_E
8,SA,SA_B,SA.B_TSB_A
9,SA,SA_B,SA.B_TSB_B
10,SA,SA_B,SA.B_TSB_C
11,SA,SA_B,SA.B_TSB_D
12,SA,SA_B,SA.B_TSB_E
13,SA,SA_A,SA.A_BHI_A
14,SA,SA_A,SA.A_BHI_B
15,SA,SA_A,SA.A_BHI_C
16,SA,SA_A,SA.A_BHI_D
17,SA,SA_A,SA.A_BHI_E
18,SA,SA_B,SA.B_BHI_A
19,SA,SA_B,SA.B_BHI_B
20,SA,SA_B,SA.B_BHI_C
21,SA,SA_B,SA.B_BHI_D
22,SA,SA_B,SA.B_BHI_E
23,SA,SA_A,SA.A_LB_A
24,SA,SA_A,SA.A_LB_B
25,SA,SA_A,SA.A_LB_C
26,SA,SA_A,SA.A_LB_D
27,SA,SA_A,SA.A_LB_E
28,SA,SA_B,SA.B_LB_A
29,SA,SA_B,SA.B_LB_B
30,SA,SA_B,SA.B_LB_C
31,SA,SA_B,SA.B_LB_D
32,SA,SA_B,SA.B_LB_E
33,PA,PA_A,PA.A_BHI_A
34,PA,PA_A,PA.A_BHI_B
35,PA,PA_A,PA.A_BHI_C
36,PA,PA_A,PA.A_BHI_D
37,PA,PA_A,PA.A_BHI_E
38,PA,PA_B,PA.B_BHI_A
39,PA,PA_B,PA.B_BHI_B
40,PA,PA_B,PA.B_BHI_C
41,PA,PA_B,PA.B_BHI_D
42,PA,PA_B,PA.B_BHI_E
43,PA,PA_A,PA.A_LB_A
44,PA,PA_A,PA.A_LB_B
45,PA,PA_A,PA.A_LB_C
46,PA,PA_A,PA.A_LB_D
47,PA,PA_A,PA.A_LB_E
48,PA,PA_B,PA.B_LB_A
49,PA,PA_B,PA.B_LB_B
50,PA,PA_B,PA.B_LB_C
51,PA,PA_B,PA.B_LB_D
52,PA,PA_B,PA.B_LB_E
53,PA,PA_A,PA.A_TSB_A
54,PA,PA_A,PA.A_TSB_B
55,PA,PA_A,PA.A_TSB_C
56,PA,PA_A,PA.A_TSB_D
57,PA,PA_B,PA.B_TSB_A
58,PA,PA_B,PA.B_TSB_B
59,PA,PA_B,PA.B_TSB_C
60,EC,EC_A,EC.A_BHI_A
61,EC,EC_A,EC.A_BHI_B
62,EC,EC_A,EC.A_BHI_C
63,EC,EC_A,EC.A_BHI_D
64,EC,EC_B,EC.B_BHI_A
65,EC,EC_B,EC.B_BHI_B
66,EC,EC_B,EC.B_BHI_C
67,EC,EC_A,EC.A_LB_A
68,EC,EC_A,EC.A_LB_B
69,EC,EC_A,EC.A_LB_C
70,EC,EC_A,EC.A_LB_D
71,EC,EC_A,EC.A_LB_E
72,EC,EC_B,EC.B_LB_A
73,EC,EC_B,EC.B_LB_B
74,EC,EC_B,EC.B_LB_C
75,EC,EC_B,EC.B_LB_D
76,EC,EC_B,EC.B_LB_E
77,EC,EC_A,EC.A_TSB_A
78,EC,EC_A,EC.A_TSB_B
79,EC,EC_A,EC.A_TSB_C
80,EC,EC_A,EC.A_TSB_D
81,EC,EC_A,EC.A_TSB_E
82,EC,EC_B,EC.B_TSB_A
83,EC,EC_B,EC.B_TSB_B
84,EC,EC_B,EC.B_TSB_C
85,EC,EC_B,EC.B_TSB_D
86,EC,EC_B,EC.B_TSB_E
